"","X","cat_pais","ncat_eleccion","cat_ballotage","n_debates_año_pais","debates_dico","cols_18"
"1",1,"Brasil",1989,2,8,TRUE,"#FF96C5"
"2",2,"Brasil",1994,1,3,TRUE,"#FF96C5"
"3",3,"Brasil",1998,2,0,FALSE,"#FF96C5"
"4",4,"Brasil",2002,2,4,TRUE,"#FF96C5"
"5",5,"Brasil",2006,2,7,TRUE,"#FF96C5"
"6",6,"Brasil",2010,2,13,TRUE,"#FF96C5"
"7",7,"Brasil",2014,2,9,TRUE,"#FF96C5"
"8",8,"Brasil",2018,2,7,TRUE,"#FF96C5"
"9",9,"Argentina",1983,1,0,FALSE,"#00A5E3"
"10",10,"Argentina",1989,1,0,FALSE,"#00A5E3"
"11",11,"Argentina",1995,1,0,FALSE,"#00A5E3"
"12",12,"Argentina",1999,1,0,FALSE,"#00A5E3"
"13",13,"Argentina",2003,1,0,FALSE,"#00A5E3"
"14",14,"Argentina",2007,1,0,FALSE,"#00A5E3"
"15",15,"Argentina",2011,1,0,FALSE,"#00A5E3"
"16",16,"Argentina",2015,2,2,TRUE,"#00A5E3"
"17",17,"Argentina",2019,2,2,TRUE,"#00A5E3"
"18",18,"Chile",1989,1,1,TRUE,"#FF5768"
"19",19,"Chile",1993,1,1,TRUE,"#FF5768"
"20",20,"Chile",2000,2,1,TRUE,"#FF5768"
"21",21,"Chile",2006,2,6,TRUE,"#FF5768"
"22",22,"Chile",2010,2,8,TRUE,"#FF5768"
"23",23,"Chile",2013,2,5,TRUE,"#FF5768"
"24",24,"Chile",2017,2,7,TRUE,"#FF5768"
"25",25,"Peru",1980,1,0,FALSE,"#CFF800"
"26",26,"Peru",1985,1,0,FALSE,"#CFF800"
"27",27,"Peru",1990,2,1,TRUE,"#CFF800"
"28",28,"Peru",1995,1,0,FALSE,"#CFF800"
"29",29,"Peru",2000,2,0,FALSE,"#CFF800"
"30",30,"Peru",2001,2,1,TRUE,"#CFF800"
"31",31,"Peru",2006,2,1,TRUE,"#CFF800"
"32",32,"Peru",2011,2,4,TRUE,"#CFF800"
"33",33,"Peru",2016,2,4,TRUE,"#CFF800"
"34",34,"Peru",2021,2,5,TRUE,"#CFF800"
"35",35,"Paraguay",1989,1,0,FALSE,"#FF60A8"
