"","X.2","long","lat","group","order","ccode","subregion","cat_pais","cols_18","cat_pais2","X.1","n_elecciones_con_debates","n_debates_total","n_promedio_debates_eleccion","n_sd_n_debates","ncat_mean_tipoorg_ambito2","n_sd_tipoorg_ambito","ncat_mean_tipoorg_visibilidad","ncat_meanppac","ncat_meancompetencia","n_sd_competencia","n_sd_ppac","ncat_regmedios","ncat_regestado","ncat_regcandidatos","ncat_mean_totreg","n_max_reg","n_sd_reg","n_proporcioninvitados","n_indexausentes","ncat_ano_primer_debate","n_cattipo_educ","n_cattipo_estado","n_cattipo_mmc","n_cattipo_osc","n_cattipo_NA","n_tot_orgs","pr_dico_formato_periodistas","n_edad_practica_absoluta","pr_cattipo_educ","pr_cattipo_estado","pr_cattipo_mmc","pr_cattipo_NA","pr_cattipo_osc","n_interrupciones"
"1",1,295.450836181641,-54.7162132263184,1,1,"Argentina","Isla de los Estados","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"2",2,295.561187744141,-54.7393569946289,1,2,"Argentina","Isla de los Estados","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"3",3,295.779479980469,-54.7219734191895,1,3,"Argentina","Isla de los Estados","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"4",4,295.894653320312,-54.7216796875,1,4,"Argentina","Isla de los Estados","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"5",5,295.945068359375,-54.7298812866211,1,5,"Argentina","Isla de los Estados","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"6",6,295.967590332031,-54.7423820495605,1,6,"Argentina","Isla de los Estados","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"7",7,296.118072509766,-54.7229499816895,1,7,"Argentina","Isla de los Estados","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"8",8,296.1845703125,-54.72509765625,1,8,"Argentina","Isla de los Estados","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"9",9,296.167449951172,-54.7679672241211,1,9,"Argentina","Isla de los Estados","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"10",10,296.028747558594,-54.8106460571289,1,10,"Argentina","Isla de los Estados","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"11",11,295.9716796875,-54.7925758361816,1,11,"Argentina","Isla de los Estados","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"12",12,295.677093505859,-54.7964820861816,1,12,"Argentina","Isla de los Estados","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"13",13,295.546752929688,-54.84033203125,1,13,"Argentina","Isla de los Estados","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"14",14,295.491302490234,-54.8399391174316,1,14,"Argentina","Isla de los Estados","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"15",15,295.362640380859,-54.9025382995605,1,15,"Argentina","Isla de los Estados","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"16",16,295.2685546875,-54.8629875183105,1,16,"Argentina","Isla de los Estados","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"17",17,295.24267578125,-54.8265647888184,1,17,"Argentina","Isla de los Estados","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
